date	going_to	method	leave	bus_time	bus_number	leave_bus	arrive	duration	open_mbta_said	
7/5/2017	work	bus	10:40:00 AM	10:43:00 AM	64	10:52:00 AM	11:00:00 AM	0:20:00		
7/5/2017	home	bus	10:00:00 PM	10:10:00 PM	64	10:18:00 PM	10:20:00 PM	0:20:00		
7/7/2017	home	bus	7:55:00 PM	8:10:00 PM	70	8:22:00 PM	8:29:00 PM	0:34:00		
7/8/2017	work	bus	7:54:00 AM	8:03:00 AM	64			-7:54:00	8:07:00 AM	
7/10/2017	work	car	8:31:00 AM				8:47:00 AM	0:16:00		
7/10/2017	home	bus	2:50:00 PM		70			-14:50:00		
7/12/2017	work	bus	10:18:00 AM	10:29:00 AM	64			-10:18:00		
7/12/2017	home	bus	5:57:00 PM	6:07:00 PM	64	6:27:00 PM	6:28:00 PM	0:31:00		
7/13/2017	central	bus	11:16:00 AM	11:23:00 AM	70		11:36:00 AM	0:20:00	11:25:00 AM	
7/14/2017	work	bus	8:13:00 AM	8:15:00 AM	64	8:35:00 AM	8:40:00 AM	0:27:00	8:16:00 AM	
7/19/2017	work	bike	9:45:00 AM				10:01:00 AM	0:16:00		
7/19/2017	home	bike	9:35:00 PM				9:52:00 PM	0:17:00		
7/21/2017	work	bike	9:26:00 AM				9:42:00 AM	0:16:00		
7/24/2017	work	bike	10:10:00 AM				10:33:00 AM	0:23:00		
7/25/2017	work	bus	8:24:00 AM	8:36:00 AM	64	9:03:00 AM	9:06:00 AM	0:42:00	8:29:00 AM	
7/26/2017	work	car	8:33:00 AM				9:04:00 AM	0:31:00		
7/27/2017	work	bus	10:02:00 AM	10:08:00 AM	64	10:19:00 AM	10:32:00 AM	0:30:00	10:07:00 AM	
7/28/2017	work	car	8:39:00 AM				9:15:00 AM	0:36:00		
7/31/2017	work	bike	11:01:00 AM				11:18:00 AM	0:17:00		
7/31/2017	home	bike	7:25:00 PM				7:40:00 PM	0:15:00		
8/1/2017	work	bike	9:46:00 AM				10:04:00 AM	0:18:00		
8/2/2017	work	bike	8:50:00 AM				9:09:00 AM	0:19:00		
8/3/2017	work	car	7:04:00 AM				7:23:00 AM	0:19:00		
8/4/2017	work	bike	8:47:00 AM				9:06:00 AM	0:19:00		
8/7/2017	work	bike	8:08:00 AM				8:25:00 AM	0:17:00		
8/7/2017	home	bike	5:32:00 PM				5:47:00 PM	0:15:00		
8/8/2017	work	car	7:23:00 AM				7:41:00 AM	0:18:00		
8/8/2017	home	bus	6:12:00 PM	6:41:00 PM	70	6:58:00 PM	7:08:00 PM	0:56:00	6:38:00 PM	ran into Truby on the walk
8/10/2017	work	car	9:07:00 AM				9:35:00 AM	0:28:00		
8/11/2017	work	car	9:48:00 AM				10:11:00 AM	0:23:00		
8/14/2017	work	car	9:03:00 AM				9:28:00 AM	0:25:00		
8/15/2017	work	bike	11:32:00 AM				11:52:00 AM	0:20:00		
8/16/2017	work	bus	10:09:00 AM	10:20:00 AM	64	10:32:00 AM	10:40:00 AM	0:31:00	10:22:00 AM	
8/16/2017	home	bike	6:35:00 PM				6:52:00 PM	0:17:00		
8/17/2017	work	bike	9:31:00 AM				9:46:00 AM	0:15:00		
8/18/2017	work	car	9:07:00 AM				9:28:00 AM	0:21:00		
8/21/2017	work	car	9:09:00 AM				9:31:00 AM	0:22:00		
8/21/2017	home	bus	5:26:00 PM	5:34:00 PM	64	5:52:00 PM	5:53:00 PM	0:27:00	5:33:00 PM	
8/22/2017	work	bike	9:08:00 AM				9:26:00 AM	0:18:00		
8/23/2017	work	bike	9:43:00 AM				10:01:00 AM	0:18:00		
8/23/2017	home	bike	7:34:00 PM				7:48:00 PM	0:14:00		
8/24/2017	work	bike	9:22:00 AM				9:40:00 AM	0:18:00		
8/25/2017	work	car	9:14:00 AM				9:33:00 AM	0:19:00		
8/25/2017	home	bus	5:54:00 PM	6:00:00 PM	64	6:16:00 PM	6:17:00 PM	0:23:00	6:00:00 PM	from Kendall
8/29/2017	work	bike	9:24:00 AM				9:41:00 AM	0:17:00		
8/29/2017	home	bike	11:40:00 PM				11:59:00 PM	0:19:00		
8/30/2017	work	bus	9:53:00 AM	9:59:00 AM	64	10:11:00 AM	10:19:00 AM	0:26:00	9:58:00 AM	
8/31/2017	work	bike	9:25:00 AM				9:42:00 AM	0:17:00		
8/31/2017	home	bike	7:14:00 PM				7:30:00 PM	0:16:00		
9/1/2017	work	bike	9:33:00 AM				9:54:00 AM	0:21:00		mem drive to building 16
9/5/2017	work	bike	10:08:00 AM				10:23:00 AM	0:15:00		
9/6/2017	work	bus	9:16:00 AM	9:23:00 AM	64	9:43:00 AM	9:46:00 AM	0:30:00	9:23:00 AM	
9/7/2017	work	bike	10:33:00 AM				10:50:00 AM	0:17:00		
9/7/2017	home	bike	12:13:00 AM				12:29:00 AM	0:16:00		
9/8/2017	work	bike	8:46:00 AM				9:02:00 AM	0:16:00		
9/11/2017	work	bike	8:58:00 AM				9:16:00 AM	0:18:00		
9/12/2017	work	bus	9:53:00 AM	10:02:00 AM	64	10:14:00 AM	10:22:00 AM	0:29:00	9:58:00 AM	
9/13/2017	work	bus	9:09:00 AM		64	9:29:00 AM	9:33:00 AM	0:24:00	9:12:00 AM	
9/14/2017	work	bike	9:31:00 AM				9:50:00 AM	0:19:00		
9/14/2017	home	bike	11:27:00 PM				11:44:00 PM	0:17:00		
9/15/2017	work	bike	8:44:00 AM				9:03:00 AM	0:19:00		
9/18/2017	work	bike	9:47:00 AM				10:02:00 AM	0:15:00		
9/19/2017	work	bus	10:20:00 AM	10:34:00 AM	70	10:45:00 AM	10:52:00 AM	0:32:00	10:33:00 AM	
9/20/2017	work	bus	8:33:00 AM	8:57:00 AM	64	9:24:00 AM	9:27:00 AM	0:54:00	8:39:00 AM	rainy
9/21/2017	work	bike	10:03:00 AM				10:20:00 AM	0:17:00		
9/22/2017	work	bus	8:17:00 AM	8:20:00 AM	64	8:45:00 AM	8:48:00 AM	0:31:00	8:20:00 AM	
9/26/2017	work	bus	8:40:00 AM	8:57:00 AM	64	9:22:00 AM	9:26:00 AM	0:46:00	8:44:00 AM	
9/27/2017	work	bus	8:49:00 AM	9:01:00 AM	64	9:25:00 AM	9:28:00 AM	0:39:00	8:51:00 AM	
9/28/2017	work	bike	9:46:00 AM				10:03:00 AM	0:17:00		
9/29/2017	work	bike	8:50:00 AM				9:04:00 AM	0:14:00		
10/2/2017	work	bike	8:46:00 AM				9:03:00 AM	0:17:00		
10/3/2017	work	bike	11:08:00 AM				11:25:00 AM	0:17:00		
10/4/2017	work	bus	10:15:00 AM	10:22:00 AM	64	10:33:00 AM	10:41:00 AM	0:26:00	10:20:00 AM	
10/5/2017	work	bus	9:55:00 AM	10:03:00 AM	64	10:16:00 AM	10:24:00 AM	0:29:00	9:57:00 AM	
10/6/2017	work	bike	8:40:00 AM				8:58:00 AM	0:18:00		
10/6/2017	home	bike	10:03:00 PM				10:18:00 PM	0:15:00		
10/11/2017	work	bus	9:18:00 AM	9:26:00 AM	64	9:48:00 AM	9:51:00 AM	0:33:00	9:26:00 AM	
10/11/2017	home	bus	6:10:00 PM	6:25:00 PM	70	6:38:00 PM	6:46:00 PM	0:36:00	6:24:00 PM	
10/12/2017	work	bike	9:47:00 AM				10:07:00 AM	0:20:00		sick and slow
10/13/2017	work	bus	8:18:00 AM	8:25:00 AM	64	8:41:00 AM	8:45:00 AM	0:27:00	8:20:00 AM	
10/15/2017	work	bike	8:45:00 AM				9:00:00 AM	0:15:00		
10/16/2017	work	bus	9:05:00 AM	9:19:00 AM	64	9:33:00 AM	9:37:00 AM	0:32:00	9:18:00 AM	openmbta said 9:11 right before I left home
10/18/2017	work	bus	9:11:00 AM	9:15:00 AM	64	9:38:00 AM	9:42:00 AM	0:31:00	9:15:00 AM	
10/19/2017	home	bike	11:07:00 PM				11:23:00 PM	0:16:00		
10/20/2017	work	bus	9:18:00 AM	9:22:00 AM	64	9:36:00 AM	9:40:00 AM	0:22:00	9:22:00 AM	bus made wrong turn and skipped a few stops
10/23/2017	work	bus	9:28:00 AM	9:34:00 AM	64	9:45:00 AM	9:53:00 AM	0:25:00	9:35:00 AM	
10/24/2017	work	bus	9:27:00 AM	9:31:00 AM	64	9:45:00 AM	9:54:00 AM	0:27:00	9:32:00 AM	
10/25/2017	work	bus	8:25:00 AM	8:38:00 AM	64	8:57:00 AM	9:00:00 AM	0:35:00	8:28:00 AM	
10/26/2017	work	bus	9:54:00 AM	10:03:00 AM	64	10:18:00 AM	10:26:00 AM	0:32:00	9:59:00 AM	
10/26/2017	home	bus	11:43:00 PM	12:06:00 AM	64	12:13:00 AM	12:15:00 AM	-23:28:00	12:05:00 AM	
10/27/2017	work	bus	9:20:00 AM	9:24:00 AM	64	9:40:00 AM	9:45:00 AM	0:25:00	9:24:00 AM	
10/30/2017	work	bus	9:26:00 AM	9:36:00 AM	64	9:57:00 AM	10:00:00 AM	0:34:00	9:31:00 AM	
10/30/2017	home	bus	5:18:00 PM	5:30:00 PM	64	6:05:00 PM	6:06:00 PM	0:48:00	5:30:00 PM	from Kendall
10/31/2017	work	bus	11:16:00 AM	11:25:00 AM	64	11:37:00 AM	11:45:00 AM	0:29:00	11:25:00 AM	
11/1/2017	work	bus	9:53:00 AM	9:57:00 AM	64	10:11:00 AM	10:19:00 AM	0:26:00	9:57:00 AM	
11/1/2017	home	bus	8:22:00 PM	8:39:00 PM	70	8:50:00 PM	8:58:00 PM	0:36:00	8:43:00 PM	
11/6/2017	work	bus	9:10:00 AM	9:20:00 AM	64	9:37:00 AM	9:40:00 AM	0:30:00	9:19:00 AM	
11/9/2017	work	bus	9:32:00 AM	9:34:00 AM	64	9:45:00 AM	9:52:00 AM	0:20:00	9:35:00 AM	
11/10/2017	work	bus	9:10:00 AM	9:12:00 AM	64	9:28:00 AM	9:31:00 AM	0:21:00	9:12:00 AM	
11/13/2017	work	bus	8:25:00 AM	8:31:00 AM	64	8:52:00 AM	8:56:00 AM	0:31:00	8:26:00 AM	
11/14/2017	work	bus	7:45:00 AM	7:59:00 AM	64	8:17:00 AM	8:21:00 AM	0:36:00	7:47:00 AM	
11/14/2017	home	bus	10:52:00 PM		64	11:18:00 PM	11:19:00 PM	0:27:00	11:10:00 PM	
11/15/2017	work	bus	11:23:00 AM	11:24:00 AM	64	11:35:00 AM	11:48:00 AM	0:25:00	11:24:00 AM	stopped for bubble tea :)
11/15/2017	home	bus	8:27:00 PM	8:39:00 PM	70	8:51:00 PM	8:58:00 PM	0:31:00	8:40:00 PM	
12/5/2017	work	bus	9:49:00 AM	9:59:00 AM	64	10:14:00 AM	10:22:00 AM	0:33:00	9:56:00 AM	
12/5/2017	home	bus	6:50:00 PM	6:58:00 PM	64	7:10:00 PM	7:11:00 PM	0:21:00	6:58:00 PM	Broadway and Hampshire
12/6/2017	work	bus	9:17:00 AM	9:18:00 AM	64	9:32:00 AM	9:35:00 AM	0:18:00	9:20:00 AM	
12/6/2017	home	bus	8:44:00 PM	9:10:00 PM	70	9:16:00 PM	9:22:00 PM	0:38:00	9:11:00 PM	
12/7/2017	work	bike	9:42:00 AM				9:58:00 AM	0:16:00		
12/7/2017	home	bike	12:09:00 AM				12:25:00 AM	0:16:00		
12/9/2017	work	bus	10:43:00 AM	10:50:00 AM	70	10:57:00 AM	11:04:00 AM	0:21:00	10:52:00 AM	
12/11/2017	work	bus	10:16:00 AM	10:21:00 AM	64	10:30:00 AM	10:39:00 AM	0:23:00	10:21:00 AM	
12/12/2017	work	bus	9:09:00 AM	9:19:00 AM	64	9:44:00 AM	9:48:00 AM	0:39:00	9:12:00 AM	
12/13/2017	work	bus	11:17:00 AM	11:19:00 AM	64	11:30:00 AM	11:37:00 AM	0:20:00	11:20:00 AM	
12/14/2017	work	bus	9:53:00 AM	9:55:00 AM	64	10:08:00 AM	10:16:00 AM	0:23:00	9:55:00 AM	
12/15/2017	work	bus	7:45:00 AM	8:03:00 AM	64	8:19:00 AM	8:23:00 AM	0:38:00	8:00:00 AM	transit said 7:47, Google said 7:51
12/18/2017	work	bus	9:54:00 AM	9:59:00 AM	64	10:11:00 AM	10:19:00 AM	0:25:00	9:57:00 AM	
12/19/2017	work	bus	10:41:00 AM		64	10:58:00 AM	11:07:00 AM	0:26:00	10:45:00 AM	
12/20/2017	work	bus	8:53:00 AM	8:57:00 AM	64	9:19:00 AM	9:22:00 AM	0:29:00	8:54:00 AM	
12/21/2017	work	bus	8:15:00 AM	8:18:00 AM	64	8:35:00 AM	8:39:00 AM	0:24:00	8:17:00 AM	
1/9/2018	work	bus	8:51:00 AM	8:57:00 AM	64	9:18:00 AM	9:22:00 AM	0:31:00	8:54:00 AM	
1/10/2018	work	bus	11:16:00 AM	11:20:00 AM	64	11:33:00 AM	11:41:00 AM	0:25:00	11:19:00 AM	
1/11/2018	home	bus	8:00:00 PM	8:16:00 PM	70	8:23:00 PM	8:30:00 PM	0:30:00	8:14:00 PM	
1/15/2018	work	bus	8:59:00 AM	9:05:00 AM	64	9:16:00 AM	9:25:00 AM	0:26:00	9:04:00 AM	
1/16/2018	work	bus	9:52:00 AM	9:59:00 AM	64	10:11:00 AM	10:19:00 AM	0:27:00	9:58:00 AM	
1/17/2018	work	bus	9:26:00 AM	9:29:00 AM	64	9:40:00 AM	9:48:00 AM	0:22:00	9:30:00 AM	
1/18/2018	work	bus	10:46:00 AM	10:51:00 AM	64	11:02:00 AM	11:13:00 AM	0:27:00	10:48:00 AM	missed the stop lol, went to university park
1/19/2018	work	bus	8:44:00 AM	8:53:00 AM	64	9:13:00 AM	9:16:00 AM	0:32:00	8:48:00 AM	
1/21/2018	work	bike	2:32:00 PM				2:51:00 PM	0:19:00		
1/21/2018	home	bike	10:20:00 PM				10:38:00 PM	0:18:00		
1/22/2018	work	bus	9:36:00 AM	9:42:00 AM	66	9:52:00 AM	10:11:00 AM	0:35:00	9:40:00 AM	
1/23/2018	work	bus	8:46:00 AM	8:56:00 AM	64	9:18:00 AM	9:21:00 AM	0:35:00	8:50:00 AM	
1/24/2018	work	bus	9:53:00 AM	9:57:00 AM	64	10:11:00 AM	10:20:00 AM	0:27:00	9:56:00 AM	
1/26/2018	work	bus	10:17:00 AM	10:22:00 AM	64	10:36:00 AM	10:43:00 AM	0:26:00	10:20:00 AM	
1/29/2018	work	bus	7:15:00 AM	7:17:00 AM	64	7:31:00 AM	7:33:00 AM	0:18:00		
1/31/2018	work	bus	10:16:00 AM	10:19:00 AM	64	10:31:00 AM	10:39:00 AM	0:23:00	10:20:00 AM	
2/2/2018	work	bus	9:50:00 AM	9:57:00 AM	64	10:14:00 AM		-9:50:00	9:56:00 AM	got Darwin's bagel breakfast
2/5/2018	work	bus	11:28:00 AM	11:35:00 AM	70	11:42:00 AM	11:49:00 AM	0:21:00	11:37:00 AM	
2/6/2018	work	bus	9:32:00 AM	9:38:00 AM	64	9:48:00 AM	9:56:00 AM	0:24:00	9:37:00 AM	
2/7/2018	work	bus	9:10:00 AM	9:23:00 AM	70	9:33:00 AM	9:41:00 AM	0:31:00	9:24:00 AM	missed the 9:11 64, went to 70 instead
2/14/2018	work	bus	8:24:00 AM	8:34:00 AM	64	9:09:00 AM	9:12:00 AM	0:48:00	8:27:00 AM	
2/15/2018	work	bus	8:24:00 AM	8:29:00 AM	64	8:47:00 AM	8:51:00 AM	0:27:00	8:27:00 AM	
2/16/2018	work	bus	9:35:00 AM	9:39:00 AM	64	9:51:00 AM	10:00:00 AM	0:25:00	9:38:00 AM	
2/18/2018	work	bus	12:10:00 PM				12:32:00 PM	0:22:00	12:16:00 PM	
2/19/2018	work	bus	10:19:00 AM	10:30:00 AM	70	10:41:00 AM	10:49:00 AM	0:30:00	10:31:00 AM	
2/20/2018	work	bus	10:12:00 AM	10:18:00 AM	64	10:29:00 AM	10:38:00 AM	0:26:00	10:18:00 AM	
2/27/2018	work	bus	7:59:00 AM	8:19:00 AM	64	8:32:00 AM		-7:59:00	8:05:00 AM	bus came at 8:10, was full; got off at central
2/28/2018	work	bus	10:17:00 AM	10:19:00 AM	64	10:39:00 AM	10:47:00 AM	0:30:00	10:19:00 AM	
3/1/2018	work	bus	7:59:00 AM	8:00:00 AM	64	8:20:00 AM	8:24:00 AM	0:25:00	7:59:00 AM	
3/2/2018	work	bus	9:52:00 AM	9:56:00 AM	64	10:07:00 AM	10:15:00 AM	0:23:00	9:53:00 AM	
