Section,Sname,Beginning,Revenues,Expenses,Ending,Journal,Year,Members
Latino/a Sociology (029),Latina/o,4830,1746,2673,3903,No,2010,325
Marxist Sociology (014),Marxist,7847,3211,2853,8205,No,2010,339
Mathematical Sociology (037),Math,1594,3012,2595,2011,No,2010,226
Medical Sociology (003),Medical,17996,10351,10872,17475,No,2010,1019
Methodology (002),Methodology,1592,2414,2881,1125,No,2010,419
"Orgs, Occupation and Work (007)",OOW,2433,4772,4490,2715,No,2010,944
"Peace, War and Social Conflict (012)",PWSC,12028,3442,6823,8647,No,2010,313
Pol Econ of World-System (017),PEWS,17663,5712,3631,19744,Yes,2010,386
Political Sociology (023),Political,2737,3295,3280,2752,No,2010,786
"Race, Gender and Class (036)",Race Gender Class,6695,3008,3430,6273,No,2010,900
Racial and Ethnic Minorities (021),Racial & Eth Min,14897,4170,9481,9586,Yes,2010,820
Rationality and Society (033),Rationality,698,1045,1807,-64,No,2010,151
"Science, Knowledge and Tech (027)",SKAT,2284,2940,3039,2185,No,2010,477
Sex and Gender (009),Sex & Gender,6150,4748,4354,6544,No,2010,1122
Social Psychology (011),Soc Psych,7600,3936,6206,5330,No,2010,634
Sociological Practice (015),Public,1594,3336,3601,1329,No,2010,311
Sociology of Culture (026),Culture,8495,5214,5323,8386,No,2010,1132
Sociology of Development (051),Development,1605,1985,1399,2191,No,2010,NA
Sociology of Education (005),Education,8843,4260,3899,9204,No,2010,813
Sociology of Emotions (025),Emotions,2696,1865,2781,1780,No,2010,262
Sociology of Law (032),Law,3468,2603,1575,4496,No,2010,442
Sociology of Mental Health (019),Mental Health,34182,27886,15229,46839,Yes,2010,418
Sociology of Population (016),Population,3585,3372,3871,3086,No,2010,499
Sociology of Religion (034),Religion,3544,2980,4485,2039,No,2010,686
Sociology of Sexualities (038),Sexualities,3276,2116,1795,3597,No,2010,442
Teaching and Learning (001),Teaching,6925,19376,20681,5620,No,2010,747
Theory (008),Theory,1561,4208,3580,2189,No,2010,818
Aging and the Life Course (018),Aging,12752,12104,12007,12849,No,2011,612
"Alcohol, Drugs and Tobacco (030)",Alcohol/Drugs,11933,1144,400,12677,No,2011,226
Altruism and Social Solidarity (047),Altruism,1139,1862,1875,1126,No,2011,320
Animals and Society (042),Animals,473,820,1116,177,No,2011,172
Asia/Asian America (024),Asia,9056,2116,1710,9462,No,2011,377
Body and Embodiment (048),Body,3408,1618,1920,3106,No,2011,307
Children and Youth (031),Children,3692,3653,3713,3632,No,2011,447
Coll Behavior/Soc Movemts. (020),CBSM,8127,3470,2704,8893,No,2011,874
Communication and Inform. (028),CITAMS,17093,4800,4804,17089,No,2011,323
Community and Urban Soc. (010),Comm/Urban,26598,24883,23379,28102,Yes,2011,696
Comparative/Historical Soc (022),Comp Hist,4870,3592,2733,5729,No,2011,708
Consumers and Consumption (052),Consumption,1108,3019,3270,857,No,2011,NA
"Crime, Law and Deviance (004)",Crim,4546,3671,1981,6236,No,2011,633
Disability and Society (045),Disability,4325,2590,3352,3563,No,2011,308
Economic Sociology (040),Econ Soc,1266,2696,2932,1030,No,2011,872
Environment and Technology (013),Env & Tech,4365,3272,5037,2600,No,2011,473
Ethnomethod./Conv Anal. (043),Ethnomethodology,1072,804,66,1810,No,2011,153
Evolution and Sociology (044),Evo Soc,-707,2144,300,1137,No,2011,158
Family (006),Family,9705,5371,4151,10925,No,2011,809
Global and Transnational Soc (049),Global/Transnational,143,3106,2720,529,No,2011,649
History of Sociology (039),History of Soc,265,1184,903,546,No,2011,199
Human Rights (046),Human Rights,4242,1754,1440,4556,No,2011,302
"Inequality, Poverty and Mobility (050)",Ineq/Poverty/Mobilty,-90,2502,2440,-28,No,2011,545
International Migration (035),Migration,1663,6547,6630,1580,No,2011,630
Labor and Labor Movemts. (041),Labor,632,2112,2022,722,No,2011,393
Latino/a Sociology (029),Latina/o,4830,1746,2673,3903,No,2011,351
Marxist Sociology (014),Marxist,7847,3211,2853,8205,No,2011,343
Mathematical Sociology (037),Math,1594,3012,2595,2011,No,2011,231
Medical Sociology (003),Medical,17996,10351,10872,17475,No,2011,1034
Methodology (002),Methodology,1592,2414,2881,1125,No,2011,430
"Orgs, Occupation and Work (007)",OOW,2433,4772,4490,2715,No,2011,961
"Peace, War and Social Conflict (012)",PWSC,12028,3442,6823,8647,No,2011,307
Pol Econ of World-System (017),PEWS,17663,5712,3631,19744,Yes,2011,430
Political Sociology (023),Political,2737,3295,3280,2752,No,2011,884
"Race, Gender and Class (036)",Race Gender Class,6695,3008,3430,6273,No,2011,999
Racial and Ethnic Minorities (021),Racial & Eth Min,14897,4170,9481,9586,Yes,2011,864
Rationality and Society (033),Rationality,698,1045,1807,-64,No,2011,165
"Science, Knowledge and Tech (027)",SKAT,2284,2940,3039,2185,No,2011,498
Sex and Gender (009),Sex & Gender,6150,4748,4354,6544,No,2011,1190
Social Psychology (011),Soc Psych,7600,3936,6206,5330,No,2011,673
Sociological Practice (015),Public,1594,3336,3601,1329,No,2011,332
Sociology of Culture (026),Culture,8495,5214,5323,8386,No,2011,1228
Sociology of Development (051),Development,1605,1985,1399,2191,No,2011,357
Sociology of Education (005),Education,8843,4260,3899,9204,No,2011,862
Sociology of Emotions (025),Emotions,2696,1865,2781,1780,No,2011,269
Sociology of Law (032),Law,3468,2603,1575,4496,No,2011,414
Sociology of Mental Health (019),Mental Health,34182,27886,15229,46839,Yes,2011,457
Sociology of Population (016),Population,3585,3372,3871,3086,No,2011,520
Sociology of Religion (034),Religion,3544,2980,4485,2039,No,2011,672
Sociology of Sexualities (038),Sexualities,3276,2116,1795,3597,No,2011,507
Teaching and Learning (001),Teaching,6925,19376,20681,5620,No,2011,804
Theory (008),Theory,1561,4208,3580,2189,No,2011,859
Aging and the Life Course (018),Aging,12752,12104,12007,12849,No,2012,620
"Alcohol, Drugs and Tobacco (030)",Alcohol/Drugs,11933,1144,400,12677,No,2012,200
Altruism and Social Solidarity (047),Altruism,1139,1862,1875,1126,No,2012,305
Animals and Society (042),Animals,473,820,1116,177,No,2012,149
Asia/Asian America (024),Asia,9056,2116,1710,9462,No,2012,337
Body and Embodiment (048),Body,3408,1618,1920,3106,No,2012,306
Children and Youth (031),Children,3692,3653,3713,3632,No,2012,409
Coll Behavior/Soc Movemts. (020),CBSM,8127,3470,2704,8893,No,2012,841
Communication and Inform. (028),CITAMS,17093,4800,4804,17089,No,2012,325
Community and Urban Soc. (010),Comm/Urban,26598,24883,23379,28102,Yes,2012,619
Comparative/Historical Soc (022),Comp Hist,4870,3592,2733,5729,No,2012,710
Consumers and Consumption (052),Consumption,1108,3019,3270,857,No,2012,322
"Crime, Law and Deviance (004)",Crim,4546,3671,1981,6236,No,2012,612
Disability and Society (045),Disability,4325,2590,3352,3563,No,2012,264
Economic Sociology (040),Econ Soc,1266,2696,2932,1030,No,2012,823
Environment and Technology (013),Env & Tech,4365,3272,5037,2600,No,2012,491
Ethnomethod./Conv Anal. (043),Ethnomethodology,1072,804,66,1810,No,2012,129
Evolution and Sociology (044),Evo Soc,-707,2144,300,1137,No,2012,174
Family (006),Family,9705,5371,4151,10925,No,2012,754
Global and Transnational Soc (049),Global/Transnational,143,3106,2720,529,No,2012,627
History of Sociology (039),History of Soc,265,1184,903,546,No,2012,199
Human Rights (046),Human Rights,4242,1754,1440,4556,No,2012,321
"Inequality, Poverty and Mobility (050)",Ineq/Poverty/Mobilty,-90,2502,2440,-28,No,2012,671
International Migration (035),Migration,1663,6547,6630,1580,No,2012,593
Labor and Labor Movemts. (041),Labor,632,2112,2022,722,No,2012,435
Latino/a Sociology (029),Latina/o,4830,1746,2673,3903,No,2012,318
Marxist Sociology (014),Marxist,7847,3211,2853,8205,No,2012,311
Mathematical Sociology (037),Math,1594,3012,2595,2011,No,2012,220
Medical Sociology (003),Medical,17996,10351,10872,17475,No,2012,1009
Methodology (002),Methodology,1592,2414,2881,1125,No,2012,434
"Orgs, Occupation and Work (007)",OOW,2433,4772,4490,2715,No,2012,996
"Peace, War and Social Conflict (012)",PWSC,12028,3442,6823,8647,No,2012,302
Pol Econ of World-System (017),PEWS,17663,5712,3631,19744,Yes,2012,412
Political Sociology (023),Political,2737,3295,3280,2752,No,2012,858
"Race, Gender and Class (036)",Race Gender Class,6695,3008,3430,6273,No,2012,942
Racial and Ethnic Minorities (021),Racial & Eth Min,14897,4170,9481,9586,Yes,2012,811
Rationality and Society (033),Rationality,698,1045,1807,-64,No,2012,162
"Science, Knowledge and Tech (027)",SKAT,2284,2940,3039,2185,No,2012,496
Sex and Gender (009),Sex & Gender,6150,4748,4354,6544,No,2012,1119
Social Psychology (011),Soc Psych,7600,3936,6206,5330,No,2012,692
Sociological Practice (015),Public,1594,3336,3601,1329,No,2012,333
Sociology of Culture (026),Culture,8495,5214,5323,8386,No,2012,1181
Sociology of Development (051),Development,1605,1985,1399,2191,No,2012,421
Sociology of Education (005),Education,8843,4260,3899,9204,No,2012,818
Sociology of Emotions (025),Emotions,2696,1865,2781,1780,No,2012,274
Sociology of Law (032),Law,3468,2603,1575,4496,No,2012,423
Sociology of Mental Health (019),Mental Health,34182,27886,15229,46839,Yes,2012,428
Sociology of Population (016),Population,3585,3372,3871,3086,No,2012,490
Sociology of Religion (034),Religion,3544,2980,4485,2039,No,2012,643
Sociology of Sexualities (038),Sexualities,3276,2116,1795,3597,No,2012,485
Teaching and Learning (001),Teaching,6925,19376,20681,5620,No,2012,801
Theory (008),Theory,1561,4208,3580,2189,No,2012,802
Aging and the Life Course (018),Aging,12752,12104,12007,12849,No,2013,610
"Alcohol, Drugs and Tobacco (030)",Alcohol/Drugs,11933,1144,400,12677,No,2013,195
Altruism and Social Solidarity (047),Altruism,1139,1862,1875,1126,No,2013,306
Animals and Society (042),Animals,473,820,1116,177,No,2013,160
Asia/Asian America (024),Asia,9056,2116,1710,9462,No,2013,349
Body and Embodiment (048),Body,3408,1618,1920,3106,No,2013,309
Children and Youth (031),Children,3692,3653,3713,3632,No,2013,441
Coll Behavior/Soc Movemts. (020),CBSM,8127,3470,2704,8893,No,2013,839
Communication and Inform. (028),CITAMS,17093,4800,4804,17089,No,2013,375
Community and Urban Soc. (010),Comm/Urban,26598,24883,23379,28102,Yes,2013,626
Comparative/Historical Soc (022),Comp Hist,4870,3592,2733,5729,No,2013,810
Consumers and Consumption (052),Consumption,1108,3019,3270,857,No,2013,310
"Crime, Law and Deviance (004)",Crim,4546,3671,1981,6236,No,2013,626
Disability and Society (045),Disability,4325,2590,3352,3563,No,2013,209
Economic Sociology (040),Econ Soc,1266,2696,2932,1030,No,2013,848
Environment and Technology (013),Env & Tech,4365,3272,5037,2600,No,2013,516
Ethnomethod./Conv Anal. (043),Ethnomethodology,1072,804,66,1810,No,2013,152
Evolution and Sociology (044),Evo Soc,-707,2144,300,1137,No,2013,167
Family (006),Family,9705,5371,4151,10925,No,2013,797
Global and Transnational Soc (049),Global/Transnational,143,3106,2720,529,No,2013,703
History of Sociology (039),History of Soc,265,1184,903,546,No,2013,196
Human Rights (046),Human Rights,4242,1754,1440,4556,No,2013,287
"Inequality, Poverty and Mobility (050)",Ineq/Poverty/Mobilty,-90,2502,2440,-28,No,2013,751
International Migration (035),Migration,1663,6547,6630,1580,No,2013,680
Labor and Labor Movemts. (041),Labor,632,2112,2022,722,No,2013,431
Latino/a Sociology (029),Latina/o,4830,1746,2673,3903,No,2013,373
Marxist Sociology (014),Marxist,7847,3211,2853,8205,No,2013,306
Mathematical Sociology (037),Math,1594,3012,2595,2011,No,2013,216
Medical Sociology (003),Medical,17996,10351,10872,17475,No,2013,1057
Methodology (002),Methodology,1592,2414,2881,1125,No,2013,424
"Orgs, Occupation and Work (007)",OOW,2433,4772,4490,2715,No,2013,1022
"Peace, War and Social Conflict (012)",PWSC,12028,3442,6823,8647,No,2013,302
Pol Econ of World-System (017),PEWS,17663,5712,3631,19744,Yes,2013,414
Political Sociology (023),Political,2737,3295,3280,2752,No,2013,901
"Race, Gender and Class (036)",Race Gender Class,6695,3008,3430,6273,No,2013,1004
Racial and Ethnic Minorities (021),Racial & Eth Min,14897,4170,9481,9586,Yes,2013,869
Rationality and Society (033),Rationality,698,1045,1807,-64,No,2013,150
"Science, Knowledge and Tech (027)",SKAT,2284,2940,3039,2185,No,2013,535
Sex and Gender (009),Sex & Gender,6150,4748,4354,6544,No,2013,1174
Social Psychology (011),Soc Psych,7600,3936,6206,5330,No,2013,689
Sociological Practice (015),Public,1594,3336,3601,1329,No,2013,328
Sociology of Culture (026),Culture,8495,5214,5323,8386,No,2013,1209
Sociology of Development (051),Development,1605,1985,1399,2191,No,2013,465
Sociology of Education (005),Education,8843,4260,3899,9204,No,2013,833
Sociology of Emotions (025),Emotions,2696,1865,2781,1780,No,2013,275
Sociology of Law (032),Law,3468,2603,1575,4496,No,2013,419
Sociology of Mental Health (019),Mental Health,34182,27886,15229,46839,Yes,2013,447
Sociology of Population (016),Population,3585,3372,3871,3086,No,2013,514
Sociology of Religion (034),Religion,3544,2980,4485,2039,No,2013,641
Sociology of Sexualities (038),Sexualities,3276,2116,1795,3597,No,2013,558
Teaching and Learning (001),Teaching,6925,19376,20681,5620,No,2013,767
Theory (008),Theory,1561,4208,3580,2189,No,2013,825
Aging and the Life Course (018),Aging,12752,12104,12007,12849,No,2014,580
"Alcohol, Drugs and Tobacco (030)",Alcohol/Drugs,11933,1144,400,12677,No,2014,173
Altruism and Social Solidarity (047),Altruism,1139,1862,1875,1126,No,2014,318
Animals and Society (042),Animals,473,820,1116,177,No,2014,154
Asia/Asian America (024),Asia,9056,2116,1710,9462,No,2014,336
Body and Embodiment (048),Body,3408,1618,1920,3106,No,2014,312
Children and Youth (031),Children,3692,3653,3713,3632,No,2014,421
Coll Behavior/Soc Movemts. (020),CBSM,8127,3470,2704,8893,No,2014,835
Communication and Inform. (028),CITAMS,17093,4800,4804,17089,No,2014,371
Community and Urban Soc. (010),Comm/Urban,26598,24883,23379,28102,Yes,2014,630
Comparative/Historical Soc (022),Comp Hist,4870,3592,2733,5729,No,2014,808
Consumers and Consumption (052),Consumption,1108,3019,3270,857,No,2014,314
"Crime, Law and Deviance (004)",Crim,4546,3671,1981,6236,No,2014,574
Disability and Society (045),Disability,4325,2590,3352,3563,No,2014,304
Economic Sociology (040),Econ Soc,1266,2696,2932,1030,No,2014,808
Environment and Technology (013),Env & Tech,4365,3272,5037,2600,No,2014,507
Ethnomethod./Conv Anal. (043),Ethnomethodology,1072,804,66,1810,No,2014,144
Evolution and Sociology (044),Evo Soc,-707,2144,300,1137,No,2014,150
Family (006),Family,9705,5371,4151,10925,No,2014,786
Global and Transnational Soc (049),Global/Transnational,143,3106,2720,529,No,2014,727
History of Sociology (039),History of Soc,265,1184,903,546,No,2014,198
Human Rights (046),Human Rights,4242,1754,1440,4556,No,2014,297
"Inequality, Poverty and Mobility (050)",Ineq/Poverty/Mobilty,-90,2502,2440,-28,No,2014,802
International Migration (035),Migration,1663,6547,6630,1580,No,2014,674
Labor and Labor Movemts. (041),Labor,632,2112,2022,722,No,2014,409
Latino/a Sociology (029),Latina/o,4830,1746,2673,3903,No,2014,406
Marxist Sociology (014),Marxist,7847,3211,2853,8205,No,2014,343
Mathematical Sociology (037),Math,1594,3012,2595,2011,No,2014,216
Medical Sociology (003),Medical,17996,10351,10872,17475,No,2014,1070
Methodology (002),Methodology,1592,2414,2881,1125,No,2014,418
"Orgs, Occupation and Work (007)",OOW,2433,4772,4490,2715,No,2014,1004
"Peace, War and Social Conflict (012)",PWSC,12028,3442,6823,8647,No,2014,299
Pol Econ of World-System (017),PEWS,17663,5712,3631,19744,Yes,2014,417
Political Sociology (023),Political,2737,3295,3280,2752,No,2014,869
"Race, Gender and Class (036)",Race Gender Class,6695,3008,3430,6273,No,2014,1006
Racial and Ethnic Minorities (021),Racial & Eth Min,14897,4170,9481,9586,Yes,2014,924
Rationality and Society (033),Rationality,698,1045,1807,-64,No,2014,135
"Science, Knowledge and Tech (027)",SKAT,2284,2940,3039,2185,No,2014,582
Sex and Gender (009),Sex & Gender,6150,4748,4354,6544,No,2014,1135
Social Psychology (011),Soc Psych,7600,3936,6206,5330,No,2014,684
Sociological Practice (015),Public,1594,3336,3601,1329,No,2014,341
Sociology of Culture (026),Culture,8495,5214,5323,8386,No,2014,1219
Sociology of Development (051),Development,1605,1985,1399,2191,No,2014,496
Sociology of Education (005),Education,8843,4260,3899,9204,No,2014,829
Sociology of Emotions (025),Emotions,2696,1865,2781,1780,No,2014,263
Sociology of Law (032),Law,3468,2603,1575,4496,No,2014,415
Sociology of Mental Health (019),Mental Health,34182,27886,15229,46839,Yes,2014,338
Sociology of Population (016),Population,3585,3372,3871,3086,No,2014,535
Sociology of Religion (034),Religion,3544,2980,4485,2039,No,2014,605
Sociology of Sexualities (038),Sexualities,3276,2116,1795,3597,No,2014,538
Teaching and Learning (001),Teaching,6925,19376,20681,5620,No,2014,737
Theory (008),Theory,1561,4208,3580,2189,No,2014,856
Aging and the Life Course (018),Aging,12752,12104,12007,12849,No,2015,612
"Alcohol, Drugs and Tobacco (030)",Alcohol/Drugs,11933,1144,400,12677,No,2015,171
Altruism and Social Solidarity (047),Altruism,1139,1862,1875,1126,No,2015,307
Animals and Society (042),Animals,473,820,1116,177,No,2015,141
Asia/Asian America (024),Asia,9056,2116,1710,9462,No,2015,313
Body and Embodiment (048),Body,3408,1618,1920,3106,No,2015,321
Children and Youth (031),Children,3692,3653,3713,3632,No,2015,406
Coll Behavior/Soc Movemts. (020),CBSM,8127,3470,2704,8893,No,2015,814
Communication and Inform. (028),CITAMS,17093,4800,4804,17089,No,2015,331
Community and Urban Soc. (010),Comm/Urban,26598,24883,23379,28102,Yes,2015,575
Comparative/Historical Soc (022),Comp Hist,4870,3592,2733,5729,No,2015,815
Consumers and Consumption (052),Consumption,1108,3019,3270,857,No,2015,268
"Crime, Law and Deviance (004)",Crim,4546,3671,1981,6236,No,2015,576
Disability and Society (045),Disability,4325,2590,3352,3563,No,2015,202
Economic Sociology (040),Econ Soc,1266,2696,2932,1030,No,2015,748
Environment and Technology (013),Env & Tech,4365,3272,5037,2600,No,2015,487
Ethnomethod./Conv Anal. (043),Ethnomethodology,1072,804,66,1810,No,2015,129
Evolution and Sociology (044),Evo Soc,-707,2144,300,1137,No,2015,136
Family (006),Family,9705,5371,4151,10925,No,2015,799
Global and Transnational Soc (049),Global/Transnational,143,3106,2720,529,No,2015,713
History of Sociology (039),History of Soc,265,1184,903,546,No,2015,194
Human Rights (046),Human Rights,4242,1754,1440,4556,No,2015,266
"Inequality, Poverty and Mobility (050)",Ineq/Poverty/Mobilty,-90,2502,2440,-28,No,2015,814
International Migration (035),Migration,1663,6547,6630,1580,No,2015,625
Labor and Labor Movemts. (041),Labor,632,2112,2022,722,No,2015,409
Latino/a Sociology (029),Latina/o,4830,1746,2673,3903,No,2015,408
Marxist Sociology (014),Marxist,7847,3211,2853,8205,No,2015,307
Mathematical Sociology (037),Math,1594,3012,2595,2011,No,2015,214
Medical Sociology (003),Medical,17996,10351,10872,17475,No,2015,1036
Methodology (002),Methodology,1592,2414,2881,1125,No,2015,409
"Orgs, Occupation and Work (007)",OOW,2433,4772,4490,2715,No,2015,1007
"Peace, War and Social Conflict (012)",PWSC,12028,3442,6823,8647,No,2015,256
Pol Econ of World-System (017),PEWS,17663,5712,3631,19744,Yes,2015,409
Political Sociology (023),Political,2737,3295,3280,2752,No,2015,818
"Race, Gender and Class (036)",Race Gender Class,6695,3008,3430,6273,No,2015,930
Racial and Ethnic Minorities (021),Racial & Eth Min,14897,4170,9481,9586,Yes,2015,858
Rationality and Society (033),Rationality,698,1045,1807,-64,No,2015,205
"Science, Knowledge and Tech (027)",SKAT,2284,2940,3039,2185,No,2015,621
Sex and Gender (009),Sex & Gender,6150,4748,4354,6544,No,2015,1176
Social Psychology (011),Soc Psych,7600,3936,6206,5330,No,2015,633
Sociological Practice (015),Public,1594,3336,3601,1329,No,2015,317
Sociology of Culture (026),Culture,8495,5214,5323,8386,No,2015,1115
Sociology of Development (051),Development,1605,1985,1399,2191,No,2015,481
Sociology of Education (005),Education,8843,4260,3899,9204,No,2015,772
Sociology of Emotions (025),Emotions,2696,1865,2781,1780,No,2015,252
Sociology of Law (032),Law,3468,2603,1575,4496,No,2015,411
Sociology of Mental Health (019),Mental Health,34182,27886,15229,46839,Yes,2015,307
Sociology of Population (016),Population,3585,3372,3871,3086,No,2015,549
Sociology of Religion (034),Religion,3544,2980,4485,2039,No,2015,605
Sociology of Sexualities (038),Sexualities,3276,2116,1795,3597,No,2015,580
Teaching and Learning (001),Teaching,6925,19376,20681,5620,No,2015,675
Theory (008),Theory,1561,4208,3580,2189,No,2015,835
