year,month,COVID tweets,date,AAPI tweets
2019,12,10,2019-12-01,66816
2020,1,384908,2020-01-01,84542
2020,2,313221,2020-02-01,63325
2020,3,2620982,2020-03-01,138406
2020,4,977942,2020-04-01,143756
2020,5,498060,2020-05-01,122053
2020,6,351833,2020-06-01,161047
2020,7,339883,2020-07-01,159831
2020,8,217373,2020-08-01,78043
2020,9,193446,2020-09-01,82731
2020,10,251431,2020-10-01,66195
2020,11,99168,2020-11-01,73649
2020,12,128004,2020-12-01,65297
2007,4,NA,2007-04-03,2
2007,5,NA,2007-05-02,2
2007,6,NA,2007-06-01,2
2007,8,NA,2007-08-01,2
2007,9,NA,2007-09-01,5
2007,10,NA,2007-10-01,2
2007,11,NA,2007-11-01,2
2007,12,NA,2007-12-01,3
2008,1,NA,2008-01-01,2
2008,2,NA,2008-02-01,7
2008,3,NA,2008-03-01,9
2008,4,NA,2008-04-01,20
2008,5,NA,2008-05-01,15
2008,6,NA,2008-06-01,16
2008,7,NA,2008-07-01,28
2008,8,NA,2008-08-01,46
2008,9,NA,2008-09-01,24
2008,10,NA,2008-10-01,28
2008,11,NA,2008-11-01,31
2008,12,NA,2008-12-01,40
2009,1,NA,2009-01-01,39
2009,2,NA,2009-02-01,81
2009,3,NA,2009-03-01,125
2009,4,NA,2009-04-01,138
2009,5,NA,2009-05-01,217
2009,6,NA,2009-06-01,306
2009,7,NA,2009-07-01,347
2009,8,NA,2009-08-01,365
2009,9,NA,2009-09-01,472
2009,10,NA,2009-10-01,507
2009,11,NA,2009-11-01,552
2009,12,NA,2009-12-01,677
2010,1,NA,2010-01-01,677
2010,2,NA,2010-02-01,858
2010,3,NA,2010-03-01,999
2010,4,NA,2010-04-01,1169
2010,5,NA,2010-05-01,1081
2010,6,NA,2010-06-01,1227
2010,7,NA,2010-07-01,1792
2010,8,NA,2010-08-01,1209
2010,9,NA,2010-09-01,1328
2010,10,NA,2010-10-01,1482
2010,11,NA,2010-11-01,1499
2010,12,NA,2010-12-01,1954
2011,1,NA,2011-01-01,2242
2011,2,NA,2011-02-01,1939
2011,3,NA,2011-03-01,3096
2011,4,NA,2011-04-01,2457
2011,5,NA,2011-05-01,2844
2011,6,NA,2011-06-01,3225
2011,7,NA,2011-07-01,3586
2011,8,NA,2011-08-01,3549
2011,9,NA,2011-09-01,3504
2011,10,NA,2011-10-01,3984
2011,11,NA,2011-11-01,4269
2011,12,NA,2011-12-01,4760
2012,1,NA,2012-01-01,7153
2012,2,NA,2012-02-01,10969
2012,3,NA,2012-03-01,6001
2012,4,NA,2012-04-01,5983
2012,5,NA,2012-05-01,7053
2012,6,NA,2012-06-01,6771
2012,7,NA,2012-07-01,7489
2012,8,NA,2012-08-01,7442
2012,9,NA,2012-09-01,6229
2012,10,NA,2012-10-01,6417
2012,11,NA,2012-11-01,6229
2012,12,NA,2012-12-01,6356
2013,1,NA,2013-01-01,6526
2013,2,NA,2013-02-01,6311
2013,3,NA,2013-03-01,7016
2013,4,NA,2013-04-01,7703
2013,5,NA,2013-05-01,6721
2013,6,NA,2013-06-01,7103
2013,7,NA,2013-07-01,8876
2013,8,NA,2013-08-01,8780
2013,9,NA,2013-09-01,7148
2013,10,NA,2013-10-01,7985
2013,11,NA,2013-11-01,9087
2013,12,NA,2013-12-01,8686
2014,1,NA,2014-01-01,9729
2014,2,NA,2014-02-01,9638
2014,3,NA,2014-03-01,10469
2014,4,NA,2014-04-01,8726
2014,5,NA,2014-05-01,8426
2014,6,NA,2014-06-01,11070
2014,7,NA,2014-07-01,13313
2014,8,NA,2014-08-01,10992
2014,9,NA,2014-09-01,8915
2014,10,NA,2014-10-01,7692
2014,11,NA,2014-11-01,6555
2014,12,NA,2014-12-01,9569
2015,1,NA,2015-01-01,8700
2015,2,NA,2015-02-01,6577
2015,3,NA,2015-03-01,9470
2015,4,NA,2015-04-01,6317
2015,5,NA,2015-05-01,5540
2015,6,NA,2015-06-01,10550
2015,7,NA,2015-07-01,7987
2015,8,NA,2015-08-01,7560
2015,9,NA,2015-09-01,6305
2015,10,NA,2015-10-01,6445
2015,11,NA,2015-11-01,12129
2015,12,NA,2015-12-01,9475
2016,1,NA,2016-01-01,10803
2016,2,NA,2016-02-01,15531
2016,3,NA,2016-03-01,10193
2016,4,NA,2016-04-01,10935
2016,5,NA,2016-05-01,13554
2016,6,NA,2016-06-01,16238
2016,7,NA,2016-07-01,8329
2016,8,NA,2016-08-01,10834
2016,9,NA,2016-09-01,8686
2016,10,NA,2016-10-01,11991
2016,11,NA,2016-11-01,11534
2016,12,NA,2016-12-01,9067
2017,1,NA,2017-01-01,9104
2017,2,NA,2017-02-01,9458
2017,3,NA,2017-03-01,12322
2017,4,NA,2017-04-01,8709
2017,5,NA,2017-05-01,9533
2017,6,NA,2017-06-01,10829
2017,7,NA,2017-07-01,10300
2017,8,NA,2017-08-01,14943
2017,9,NA,2017-09-01,9452
2017,10,NA,2017-10-01,8496
2017,11,NA,2017-11-01,18460
2017,12,NA,2017-12-01,15354
2018,1,NA,2018-01-01,20234
2018,2,NA,2018-02-01,27034
2018,3,NA,2018-03-01,29972
2018,4,NA,2018-04-01,17037
2018,5,NA,2018-05-01,48528
2018,6,NA,2018-06-01,23326
2018,7,NA,2018-07-01,22290
2018,8,NA,2018-08-01,49866
2018,9,NA,2018-09-01,17848
2018,10,NA,2018-10-01,33706
2018,11,NA,2018-11-01,26388
2018,12,NA,2018-12-01,22758
2019,1,NA,2019-01-01,32176
2019,2,NA,2019-02-01,36166
2019,3,NA,2019-03-01,68773
2019,4,NA,2019-04-01,25594
2019,5,NA,2019-05-01,35430
2019,6,NA,2019-06-01,19875
2019,7,NA,2019-07-01,35362
2019,8,NA,2019-08-01,46513
2019,9,NA,2019-09-01,57635
2019,10,NA,2019-10-01,71426
2019,11,NA,2019-11-01,47066
